id,date,location,state,lat,lon,predicted_probability,fatalities,trigger,type,location_accuracy
GLC2113,2010-07-21,"Singtam-Mangan rd, Sikkim",Sikkim,27.3773,88.559,0.9426293253661201,0.0,downpour,landslide,25km
GLC6200,2014-08-17,Arunachal Pradesh/Itanagar,Arunachal Pradesh,27.0869,93.6086,0.9422645371007147,0.0,downpour,landslide,10km
GLC2422,2010-09-13,"Hunthar Veng, Mizoram",Mizoram,23.74182634,92.7141905,0.9413716835798219,0.0,downpour,landslide,1km
LS15,2024-07-02,Zemabawk,Mizoram,23.76,92.74,0.9402712955196304,3.0,Monsoon,Debris slide,exact
GLC5312,2013-08-11,Kangtsung Village,Assam,26.7103,94.693,0.9398339549127579,0.0,downpour,landslide,10km
GLC6290,2014-09-23,Mawbah under Mawprem area,Meghalaya,25.5772,91.8666,0.9395640180364281,8.0,continuous_rain,landslide,5km
GLC126,2007-07-16,Bardang near Singtam,Sikkim,27.1499,88.38,0.9387131579389545,0.0,rain,mudslide,25km
GLC4382,2012-06-03,"between Harangajao and Mailongdisa, Assa,",Assam,25.1175,92.8573,0.9374955934742607,0.0,downpour,landslide,5km
GLC7836,2015-08-27,"National Highway 54, at Kawnpui town",Mizoram,24.042,92.6724,0.9368099304183173,0.0,downpour,landslide,10km
GLC2282,2010-08-19,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",Nagaland,26.1984,94.8158,0.9365847295011465,0.0,downpour,landslide,1km
GLC4859,2013-05-11,"Sarania Hills, North Guwahati, Guwahati, Assam,",Assam,26.1771,91.7599,0.93584472782174,0.0,rain,landslide,5km
GLC2392,2010-09-04,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",Sikkim,27.3702,88.7334,0.9356767013495183,0.0,downpour,landslide,10km
GLC6285,2014-09-22,VIP Road,Assam,26.159,91.8178,0.9343546017312341,0.0,rain,landslide,5km
GLC7369,2015-08-01,between Chalong and Paraolon,Manipur,24.1988,94.1016,0.9340757923441244,0.0,continuous_rain,landslide,10km
GLC5337,2013-08-16,"Yakshu, Nagaland",Nagaland,26.4205,94.9731,0.9340079420901831,0.0,rain,landslide,5km
GLC3805,2011-07-19,200 meters from Teesta Bridge towards Siliguri,Sikkim,27.05374234,88.42572376,0.9335151241236115,0.0,rain,landslide,1km
GLC5273,2013-08-04,"Zhekuto, Nagaland",Nagaland,26.1807,94.5497,0.9325781537005176,0.0,monsoon,landslide,5km
GLC755,2008-08-28,"Ranka, Sikkim and Louing road",Sikkim,27.337,88.609,0.9325562183152936,0.0,downpour,landslide,25km
GLC9124,2016-07-19,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",Meghalaya,25.203,90.5573,0.9320965193709765,0.0,continuous_rain,translational_slide,5km
GLC220,2007-08-31,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",Manipur,25.1333,93.9667,0.931938979963009,0.0,rain,landslide,25km
GLC2025,2010-06-28,"Police CID complex(?), Shillong, Meghalaya",Meghalaya,25.5728,91.885,0.9319201513165869,1.0,downpour,landslide,5km
GLC2098,2010-07-19,"Jahjon ward(?), Mon town, Nagaland",Nagaland,26.7215,95.0283,0.9304135026478066,0.0,downpour,landslide,5km
GLC6106,2014-06-26,Narakasur,Assam,26.1407,91.7645,0.9301018785067786,3.0,continuous_rain,landslide,5km
GLC4408,2012-06-13,"NH44, Kuliang",Meghalaya,25.5498,92.0757,0.9289882401180732,0.0,downpour,landslide,unknown
LS19,2025-05-30,Rangvamual,Mizoram,23.74,92.72,0.9287609355494401,0.0,Monsoon,Rockfall,exact
GLC256,2007-09-10,Rhodong village near Rhey in East Sikkim,Sikkim,27.3425,88.6236,0.9272068024491203,0.0,rain,landslide,10km
GLC4860,2013-05-11,"Boragaon, North Guwahati, Guwahati, Assam,",Assam,26.1016,91.6906,0.9258410931295229,0.0,rain,landslide,5km
GLC2576,2010-10-09,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",Nagaland,25.4788,94.1399,0.925816927428402,0.0,downpour,landslide,10km
GLC2248,2010-08-14,"Noklak-Tuensang road, Nagaland",Nagaland,26.222,94.9152,0.9241655387969765,0.0,downpour,landslide,25km
LS16,2024-07-02,Zuangtui,Mizoram,23.76,92.73,0.9235159274418269,0.0,Monsoon,Debris slide,exact
GLC2411,2010-09-10,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",Arunachal Pradesh,27.0011,93.7273,0.9230321406019592,0.0,downpour,landslide,unknown
GLC285,2007-09-29,"National Highway, 45 Aizwal (Mizoram)",Mizoram,24.1293,92.6921,0.92265921726541,0.0,rain,landslide,50km
GLC1611,2010-04-01,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could onl",Assam,25.1553,93.028,0.9222824324198833,3.0,downpour,landslide,25km
LS10,2024-05-28,Chawnpui,Mizoram,23.72,92.71,0.921784261462257,8.0,Cyclone Remal,Debris slide,exact
GLC2425,2010-09-13,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",Mizoram,23.3439,93.0748,0.9215599179536303,0.0,downpour,landslide,25km
GLC2304,2010-08-21,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",Nagaland,25.5718,94.1211,0.9209983417827323,0.0,downpour,landslide,10km
GLC1996,2010-06-17,"Shayoung Ward(?), Longleng, Nagaland",Nagaland,26.4333,94.8833,0.9200176049599748,0.0,downpour,landslide,25km
GLC213,2007-08-26,Shillong Road at Kuliang in the Jaintia Hills,Assam,25.2946,92.8339,0.9199055765875606,0.0,rain,landslide,unknown
GLC7385,2015-08-01,"Holenjang, Chandel district",Manipur,24.004,93.9815,0.9193340349587441,0.0,continuous_rain,landslide,10km
GLC692,2008-08-07,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",Nagaland,25.705,94.04,0.9193340049090266,0.0,downpour,landslide,10km
GLC7370,2015-08-01,between Moltuk to New Songjang village,Manipur,24.1419,94.1078,0.9172622361485209,0.0,continuous_rain,landslide,5km
GLC7388,2015-08-01,Senam,Manipur,24.416,94.0984,0.9153810052968216,0.0,continuous_rain,landslide,5km
GLC3525,2011-05-22,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",Assam,25.0672,93.4093,0.9147229544167965,0.0,downpour,landslide,25km
GLC5107,2013-07-15,"National Highway 29 Near Phesama Village, Nagaland",Nagaland,25.6269,94.1139,0.9125136725581203,0.0,rain,landslide,10km
GLC5343,2013-08-17,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,Assam,24.7625,93.4341,0.9124047925288469,0.0,continuous_rain,landslide,10km
GLC5442,2013-09-02,Arunachal Pradesh,Arunachal Pradesh,27.1614,93.7525,0.9109340820776752,0.0,downpour,landslide,unknown
GLC5275,2013-08-04,"Suruhuto Town, Nagaland",Nagaland,26.1498,94.6055,0.909621131523118,0.0,monsoon,landslide,10km
GLC594,2008-06-19,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",Manipur,24.9336,93.8275,0.90635909889283,0.0,monsoon,mudslide,25km
GLC7371,2015-08-01,near S Lamphei Lamkhai and Sehlon village,Manipur,23.9939,94.0573,0.9062760879265429,0.0,continuous_rain,landslide,50km
GLC5274,2013-08-04,"Suruhuto Town, Nagaland",Nagaland,26.0838,94.564,0.9025393096506673,0.0,rain,landslide,25km
GLC714,2008-08-14,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunacha",Assam,27.163,94.0,0.9020620808659381,0.0,rain,landslide,50km
GLC2570,2010-10-08,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",Manipur,24.837,93.9128,0.9020559864698134,0.0,downpour,landslide,5km
GLC2426,2010-09-13,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",Mizoram,22.7176,92.8416,0.9001908935254125,0.0,downpour,landslide,25km
GLC3683,2011-07-01,NH-61 between Botsa and Chiechama,Nagaland,25.8782,94.1739,0.8987214984548169,0.0,downpour,landslide,10km
GLC255,2007-09-10,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Manipur,24.2451,94.0691,0.897407346702348,0.0,rain,landslide,25km
GLC3672,2011-06-29,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",Assam,25.5125,93.3613,0.8972556103973919,0.0,downpour,landslide,unknown
GLC5271,2013-08-04,"Nanga, Nagaland",Nagaland,26.284,94.5808,0.8967787306536573,0.0,continuous_rain,landslide,5km
GLC4407,2012-06-13,"NH44, Malidhor area,  Baleswar",Assam,25.0951,92.3567,0.8962243540234134,0.0,downpour,landslide,50km
GLC148,2007-07-30,Saiha,Mizoram,22.479,92.967,0.8960509197664284,0.0,downpour,landslide,25km
GLC7383,2015-08-01,"Tuitung village, Khengjoi",Manipur,23.899,94.1434,0.893466476226932,0.0,rain,landslide,5km
GLC9142,2016-06-14,"lower Majakong Ward, Mokokchung, Nagaland, India",Nagaland,26.3185,94.5247,0.8926751056264394,0.0,continuous_rain,landslide,1km
GLC2044,2010-07-06,"Kiphire,  Nagaland",Nagaland,25.8877,94.7861,0.8912310108417276,0.0,monsoon,mudslide,5km
GLC5270,2013-08-04,"Phizo, Nagaland",Nagaland,26.0481,94.4619,0.8906739535016597,0.0,continuous_rain,landslide,unknown
GLC1129,2009-08-30,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",Manipur,24.8628,94.4182,0.8899212586511983,0.0,downpour,landslide,50km
GLC5582,2013-10-06,"Batahguli, Guwahati, Assam",Assam,26.1309,91.8383,0.8891612495193989,1.0,downpour,landslide,5km
GLC5336,2013-08-16,"Tobu, Nagaland",Nagaland,26.3897,94.9439,0.8890484179261762,0.0,rain,landslide,10km
GLC3860,2011-07-29,"Maram, Manipur",Nagaland,25.4192,94.108,0.8890223177148558,0.0,rain,landslide,10km
GLC2575,2010-10-09,"road between Haflong and Lanka, Assam",Assam,25.5242,92.9914,0.888596473935946,0.0,downpour,landslide,50km
GLC6107,2014-06-26,Bamunimaidam,Assam,26.1844,91.7896,0.8858700189658265,1.0,continuous_rain,landslide,5km
GLC3916,2011-08-13,"Chumukedima, Dimapur",Assam,25.7713,93.8067,0.8857051496165964,0.0,downpour,mudslide,10km
GLC7664,2015-08-11,Nungba,Manipur,24.7459,93.4251,0.8853031997110413,0.0,continuous_rain,landslide,10km
GLC5269,2013-08-04,"Tizu, Nagaland",Nagaland,25.8376,94.5234,0.8846553383185862,0.0,continuous_rain,landslide,unknown
GLC6970,2015-06-16,Akonggre,Meghalaya,25.5084,90.2191,0.8831968153209463,1.0,downpour,rock_fall,1km
GLC3830,2011-07-22,Manipur,Manipur,24.3527,94.3429,0.8763527111407298,0.0,downpour,landslide,10km
GLC7374,2015-08-01,Ukhrul town Circular road from Rayotang to Viewland Zone II,Manipur,25.1122,94.3591,0.8761348918785656,0.0,continuous_rain,landslide,10km
GLC4435,2012-06-25,"Tirap , Arunachal Pradesh",Arunachal Pradesh,27.174,95.8011,0.8753301454924086,0.0,downpour,landslide,10km
GLC4892,2013-06-01,Upper Subansiri,Arunachal Pradesh,27.8776,94.25,0.8737743925815633,0.0,downpour,landslide,50km
GLC3837,2011-07-24,NH 37,Assam,26.5836,93.0038,0.8735412050706215,0.0,downpour,landslide,50km
GLC5300,2013-08-09,"Senapati, Manipur",Nagaland,25.318,94.0441,0.8699701105730985,0.0,downpour,landslide,50km
GLC5338,2013-08-16,"Longlem, Nagaland",Assam,26.8727,94.9275,0.868122766201453,0.0,rain,landslide,25km
GLC2567,2010-10-08,"Phek, Manipur",Manipur,25.6633,94.4703,0.8670843162743814,0.0,downpour,complex,5km
GLC1127,2009-08-27,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),Assam,25.1718,93.123,0.8659983737709154,0.0,downpour,landslide,10km
GLC6968,2015-06-13,"Ratacherra village along the NH-44 connecting to Barak Valley in Assam and Tripura, Meghalaya, Mizor",Meghalaya,25.463,92.2121,0.8637370925789288,4.0,continuous_rain,landslide,5km
LS13,2024-05-28,"NH-6, Hunthar",Mizoram,23.74,92.71,0.862726131138289,0.0,Cyclone Remal,Road blockage,exact
GLC4446,2012-07-05,"Tuting, Upper Siang , Arunachal Pradesh",Arunachal Pradesh,28.9986,94.8885,0.8622561183672474,0.0,downpour,landslide,5km
GLC1084,2009-08-12,"Upper Subansiri District, Arunanchal Pradesh",Arunachal Pradesh,27.7,92.8,0.8595278105240567,0.0,downpour,landslide,5km
GLC5006,2013-07-01,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",Nagaland,26.1147,94.3864,0.8588382805965703,0.0,downpour,landslide,1km
GLC6143,2014-07-14,"Zembabawk, Aizawl",Mizoram,23.7327,92.7463,0.8558765807047098,1.0,downpour,landslide,5km
GLC2182,2010-07-31,Dimapur-Imphal highway (NH 39) near Manipur,Manipur,24.9356,93.8443,0.8556395283165529,0.0,rain,landslide,25km
GLC9051,2016-07-19,"12th Mile area at Jorabat, Meghalaya, India",Meghalaya,26.09748244,91.8744337,0.8550179162056345,0.0,unknown,landslide,25km
GLC8012,2015-09-06,"Umling, Meghalaya 793102, India",Meghalaya,25.9703,91.8584,0.851781330014361,0.0,unknown,landslide,1km
GLC2243,2010-08-13,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagalan",Nagaland,25.70223725,94.04619681,0.8515188377463404,0.0,downpour,landslide,5km
GLC2106,2010-07-20,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",Nagaland,26.8716,94.9921,0.8494664691419639,0.0,downpour,landslide,25km
GLC7373,2015-08-01,between Maku village and Kamjong sub division,Manipur,24.9111,94.4759,0.8493744744035385,0.0,continuous_rain,landslide,10km
GLC3662,2011-06-28,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",Manipur,25.03561729,94.0144205,0.8491427350010596,0.0,rain,landslide,25km
GLC5122,2013-07-17,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Nagaland,25.7658,93.9413,0.8483381274016,0.0,rain,mudslide,50km
GLC212,2007-08-26,National Highway No 44 at Sonarpur in Meghalaya,Meghalaya,25.5576,91.8506,0.8481692716688964,0.0,rain,complex,unknown
GLC6292,2014-09-23,Hatsingimari,Assam,25.7238,89.9032,0.8480345023412287,1.0,continuous_rain,landslide,5km
GLC3637,2011-06-21,"Lasumi village in Phek district, Kohima",Nagaland,25.51614662,94.2341227,0.8459408776929047,0.0,rain,landslide,1km
GLC3983,2011-09-23,"Maighuli, Guwahati, Meghalaya",Assam,26.1548,91.7351,0.8452806747186736,4.0,downpour,landslide,unknown
GLC141,2007-07-26,Singtam,Meghalaya,25.38,91.88,0.8452558449228204,0.0,rain,landslide,50km
GLC7389,2015-08-01,between Bongyang and Lokchao along the Imphal-Moreh highway,Manipur,24.4072,94.0644,0.8448345334850426,0.0,continuous_rain,landslide,5km
LS18,2025-05-30,Thuampui,Mizoram,23.75,92.73,0.8438005760446933,1.0,Monsoon,Wall failure,exact
GLC2577,2010-10-09,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",Nagaland,25.5265,93.8673,0.8407112649519101,0.0,downpour,landslide,50km
GLC2569,2010-10-08,"Bungte Chiru village(?), Senapati district, Manipur",Nagaland,25.2745,94.0212,0.8363034338211008,0.0,downpour,landslide,5km
LS9,2024-05-28,Falkawn,Mizoram,23.68,92.73,0.8362281022638086,2.0,Cyclone Remal,Debris slide,exact
GLC1222,2009-10-05,"Chhinga Veng, Aizawl",Mizoram,23.73478778,92.72124394,0.8357695064397243,3.0,downpour,landslide,5km
LS6,2024-05-28,Melthum quarry,Mizoram,23.7,92.72,0.8338257804875678,15.0,Cyclone Remal,Quarry collapse,exact
LS7,2024-05-28,Hlimen,Mizoram,23.7,92.72,0.8338257804875678,6.0,Cyclone Remal,Debris slide,exact
GLC8237,2016-07-01,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",Arunachal Pradesh,27.0136,92.6351,0.8290432142314862,5.0,downpour,landslide,1km
GLC1125,2009-08-26,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim",Sikkim,27.3746,88.7648,0.8278839958595587,0.0,rain,landslide,25km
GLC6110,2014-06-27,"Bhangagarh, Assam",Assam,26.1619,91.7697,0.8258664788271765,3.0,rain,landslide,exact
GLC2566,2010-10-08,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",Nagaland,25.4769,94.1351,0.8254134577391359,0.0,downpour,mudslide,5km
GLC6105,2014-06-26,Arunachal Pradesh,Arunachal Pradesh,28.9205,95.3429,0.8182182817072291,0.0,continuous_rain,landslide,unknown
GLC9219,2016-07-26,"Zunheboto, Nagaland, India",Nagaland,26.0101,94.5282,0.8161821795883817,0.0,downpour,landslide,5km
GLC258,2007-09-11,"NH-39 at Imphal-Moreh section, Lokchao largest event",Manipur,24.4279,94.0564,0.8151109254777273,3.0,rain,landslide,50km
GLC7780,2015-08-26,Sailam village,Mizoram,23.3572,92.7878,0.8149012884236135,1.0,continuous_rain,landslide,5km
GLC2343,2010-08-27,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",Nagaland,25.4786,94.1327,0.8141483252625532,0.0,downpour,landslide,5km
GLC4570,2012-09-19,Arunachal Pradesh,Arunachal Pradesh,27.8458,95.2253,0.8134447854109819,0.0,downpour,landslide,1km
GLC215,2007-08-28,Phesema area at National Highway 39,Nagaland,25.7428,93.9136,0.8129164516231081,1.0,rain,landslide,50km
GLC5250,2013-08-01,"Polo River At Polosang, Arunachal Pradesh",Arunachal Pradesh,27.8837,93.0515,0.8120792814493255,0.0,rain,mudslide,10km
GLC9338,2016-05-18,"Sonachirra, Karimganj district, Assam, India",Assam,24.4638,92.4943,0.8080346472138571,5.0,continuous_rain,landslide,10km
GLC3532,2011-05-24,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",Assam,25.0888,92.8551,0.8078093194025887,0.0,downpour,complex,10km
GLC2587,2010-10-10,"Lower Chandmari area, PWD department, Kohima, Manipur",Nagaland,25.6623,94.1072,0.8069099831390105,0.0,downpour,landslide,1km
GLC7372,2015-07-31,Naga Gate along the Ukhrul-Imphal route,Manipur,25.0634,94.3415,0.8062453505477198,0.0,continuous_rain,mudslide,10km
GLC3560,2011-05-31,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",Manipur,24.8286,93.5935,0.8059909006002255,2.0,downpour,landslide,50km
